time	V(v+)	I(I1)
Step Information: Illu=86  (Step: 1/7)
1.472045097034425e-02	1.550036e-03	9.092650e-04
1.667357597034425e-02	1.367681e-03	9.093527e-04
1.862670097034425e-02	1.223768e-03	9.094215e-04
2.057982597034425e-02	1.107289e-03	9.094770e-04
2.350951347034425e-02	9.689819e-04	9.095427e-04
2.643920097034425e-02	8.614101e-04	9.095938e-04
3.034545097034425e-02	7.503606e-04	9.096463e-04
3.522826347034425e-02	6.462380e-04	9.096955e-04
4.108763847034425e-02	5.539991e-04	9.097391e-04
4.792357597034425e-02	4.749216e-04	9.097764e-04
5.671263847034425e-02	4.012824e-04	9.098111e-04
6.745482597034425e-02	3.373530e-04	9.098412e-04
8.112670097034425e-02	2.804839e-04	9.098680e-04
9.968138847034425e-02	2.282633e-04	9.098926e-04
1.250720134703442e-01	1.819167e-04	9.099144e-04
1.602282634703442e-01	1.419973e-04	9.099332e-04
2.119860759703442e-01	1.073251e-04	9.099495e-04
2.920642009703442e-01	7.789720e-05	9.099633e-04
4.248767009703442e-01	5.354647e-05	9.099748e-04
6.699938884703442e-01	3.395613e-05	9.099840e-04
9.785876384703442e-01	2.324806e-05	9.099891e-04
9.990954509703442e-01	2.277086e-05	9.099893e-04
1.000000000000000e+00	2.275025e-05	9.099893e-04
Step Information: Illu=3.3K  (Step: 4/7)
0.000000000000000e+00	4.618309e-01	0.000000e+00
6.553599814651534e-05	4.568016e-01	6.504976e-04
1.310719962930307e-04	4.501327e-01	1.298154e-03
2.621439925860614e-04	4.126505e-01	2.575487e-03
5.242879851721227e-04	2.998047e-01	4.156659e-03
1.048575970344245e-03	1.553511e-01	4.235903e-03
2.025138470344245e-03	6.559440e-02	4.262250e-03
3.001700970344245e-03	3.931578e-02	4.272592e-03
3.978263470344245e-03	2.857833e-02	4.276990e-03
4.954825970344245e-03	2.254291e-02	4.279608e-03
5.931388470344245e-03	1.863956e-02	4.278087e-03
6.907950970344245e-03	1.590398e-02	4.280683e-03
7.884513470344245e-03	1.387741e-02	4.282295e-03
8.861075970344245e-03	1.231136e-02	4.283409e-03
9.837638470344245e-03	1.106434e-02	4.284228e-03
1.081420097034425e-02	1.004759e-02	4.284856e-03
1.179076347034425e-02	9.202531e-03	4.285355e-03
1.276732597034425e-02	8.488961e-03	4.285762e-03
1.374388847034425e-02	7.878340e-03	4.286100e-03
1.472045097034425e-02	7.349845e-03	4.286387e-03
1.569701347034425e-02	6.887923e-03	4.286632e-03
1.667357597034425e-02	6.480721e-03	4.286846e-03
1.765013847034425e-02	6.119047e-03	4.287033e-03
1.960326347034425e-02	5.504777e-03	4.287347e-03
2.155638847034425e-02	5.002699e-03	4.287599e-03
2.350951347034425e-02	4.584624e-03	4.287807e-03
2.546263847034425e-02	4.231085e-03	4.287981e-03
2.839232597034425e-02	3.792466e-03	4.288196e-03
3.132201347034425e-02	3.436285e-03	4.288368e-03
3.425170097034425e-02	3.141288e-03	4.288510e-03
3.815795097034425e-02	2.818679e-03	4.288665e-03
4.206420097034425e-02	2.556178e-03	4.288791e-03
4.694701347034425e-02	2.289652e-03	4.288918e-03
5.280638847034425e-02	2.035039e-03	4.289039e-03
5.866576347034425e-02	1.831393e-03	4.289136e-03
6.550170097034425e-02	1.639938e-03	4.289227e-03
7.331420097034425e-02	1.464922e-03	4.289309e-03
